jobNo,institution,url,listId,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2018-48559,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/48559/core-engineering---secdb-architecture---c%2b%2b-java-software-engineer/job?hub=7,1,0,1,0,0,2,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,4,5,0,0,0,0,0,1,6,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
2018-49410,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/49410/marquee-engineering---marquee-engineering/job?hub=7,1,0,1,0,0,3,1,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-48502,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/48502/pwm-technology---cto-%26-infrastructure---imd-onboarding---dev-ops-engineer/job?hub=7,1,0,1,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,1,0,0,0,8,0,0,0,0,0,5,2,0,0,0,0,1,0,3,2,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
2018-49342,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/49342/consumer-banking-technology---application-development----back-end-developer/job?hub=7,1,0,4,2,0,2,0,0,0,0,4,1,0,3,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2019-50494,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/50494/vice-president/job?hub=7,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-50007,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/50007/commercial-banking----ccbd-tech---cloud-engineer/job?hub=7,1,0,4,2,0,5,0,0,0,0,2,1,0,4,0,0,1,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,0,0,8,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2018-46938,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/46938/devops-engineer--secdb-runtime/job?hub=7,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-50092,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/50092/consumer-banking-technology---application-development---back-end-developer/job?hub=7,1,0,4,2,0,2,0,0,0,0,4,1,0,3,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018-49353,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/49353/consumer-banking-technology---architecture---business-process-modeler/job?hub=7,1,0,4,2,0,2,0,0,0,0,4,1,0,3,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,4,3,0,1,0,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018-42262,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/42262/ccbd-tech%2c-marcus-application-development%2c-associate%2c-bengaluru/job?hub=7,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-49014,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/49014/engineering---eto-and-vendor-management---eto---incident-problem-change-manager-%28eto---sparc%29/job?hub=7,1,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-48754,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/48754/digital-experience---workplace-engineering---platform---workplace-eng---devops-engineer/job?hub=7,1,0,1,0,0,2,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,2,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2019-50498,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/50498/associate---tech0115201926gsam/job?hub=7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-48791,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/48791/engineering---rmd-technology---loans-servicing/job?hub=7,1,0,2,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2,0,4,0,0,0,0,0,8,4,0,0,0,0,1,0,5,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-48813,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/48813/deployment-and-runtime---global-data-center---platform--gdc-junior-developer/job?hub=7,1,0,1,0,0,4,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-49012,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/49012/core-engineering---eto-and-vendor-management---incident-problem-change-manager/job?hub=7,1,0,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,3,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-49197,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/49197/commercial-banking---fraud-lead/job?hub=7,1,0,3,2,0,8,1,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2018-47575,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/47575/core-engineering---data-intelligence---edge---data-engineer/job?hub=7,1,0,1,0,0,14,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,2,3,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-50340,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/50340/finance-engineering---corporate-treasury-engineering/job?hub=7,1,0,2,0,0,5,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,1,5,0,0,0,0,0,0,4,0,2,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
2018-48337,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/48337/commercial-banking-technology---ccbd-tech---back-end-developer/job?hub=7,1,0,4,2,0,5,0,0,0,0,2,1,0,4,0,0,1,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,5,3,0,0,0,0,0,0,8,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2018-49580,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/49580/pwm-technology---ayco---analyst--production-response-and-monitoring/job?hub=7,1,0,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,7,2,0,0,0,0,1,0,3,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018-47677,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/47677/ccbd-technology----architecture---solutions-architect/job?hub=7,1,0,4,2,0,2,0,0,0,0,4,1,0,3,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018-49453,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/49453/pwm-technology---pwm-cto-%26-infrastructure---imd---test-engineer-lead/job?hub=7,1,0,1,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,5,0,0,0,0,0,5,2,0,0,0,0,1,0,3,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2018-49510,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/49510/gset-engineering---fpga-developer---vp/job?hub=7,1,0,2,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,3,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2017-40852,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/40852/prime-services-technology---equities-technology-quant-program-developer-%28apac%29/job?hub=7,1,0,1,0,0,2,3,5,1,0,1,0,0,3,0,2,0,0,0,0,0,0,1,1,0,4,0,3,0,0,0,1,0,9,5,0,0,0,0,0,0,3,0,4,3,0,0,1,0,2,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
2018-48096,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/48096/operations-engineering---operations-engineering-mgmt---ops-eng---l3-application-developer---y450/job?hub=7,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-49313,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/49313/consumer-banking-technology---uk-consumer-deposits-technology---ccbd-tech%2c-qa-engineer/job?hub=7,1,0,4,2,0,2,0,0,0,0,4,1,0,3,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,5,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2019-50128,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/50128/associate---tech010219vhgt/job?hub=7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-48896,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/48896/commercial-banking---lead-liquidity-analytics/job?hub=7,1,0,4,2,0,5,0,0,0,0,2,1,0,4,0,0,1,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,5,4,0,0,0,0,0,0,9,0,6,0,0,0,0,0,2,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2018-47248,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/47248/marcus---front-end-developer/job?hub=7,1,0,4,2,0,2,0,0,0,0,3,1,0,3,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2018-48427,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/48427/data-intelligence---edge-data-engineering---data-engineer-%28dio---edge%29/job?hub=7,1,0,1,0,0,15,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,1,2,3,0,0,0,0,0,0,3,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-50018,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/50018/commercial-banking-%e2%80%93-full-stack-developer/job?hub=7,1,0,4,2,0,5,0,0,0,0,2,1,0,4,0,0,1,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,8,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2018-49202,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/49202/commercial-banking---security-engineer/job?hub=7,1,0,3,2,0,3,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2019-50130,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/50130/commercial-banking---software-engineering/job?hub=7,1,0,3,2,0,3,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
2019-50312,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/50312/vice-president--tech010719kgmoe/job?hub=7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-50045,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/50045/core-engineering---deployment-runtime-and-architecture---network-security-engineer/job?hub=7,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018-47810,Goldman Sachs,https://careers-goldmansachs.icims.com/jobs/47810/ficc-technology---boltweb-core---client-and-production-support/job?hub=7,1,0,3,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,5,3,0,0,0,0,0,0,3,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019-50316,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/50316/vice-president%2c-tech01072019pkeqt/job?hub=7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-50127,Goldman Sachs,https://uscareers-goldmansachs.icims.com/jobs/50127/vice-president%2c-tech010219ssoe/job?hub=7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
